spec	mod.set	filt	density.perkm2	gen.time.years	mass.g	size.m	trophic.cat	kingdom	area	selfing	rec	wind	U	pi.best	pi.full	num.chr	map.length	markers	mapped.markers	good.markers	mb.tot	density.good	prop.good	rec.rate	pi.avg	selstr.full	selstr.best	assembly.bp	placed.bp	placed.ungapped.bp	genome.size.mb	domesticated	placed.frac	ungapped.frac	logsize	logrange	best.model	rel.lik.best	rel.lik.hh	rel.lik.bgs	rel.lik.neut	best.model.plot	hh.conf	neut.conf	bgs.conf
agam	set1	std	NA	0.0383561644	0.00108	0.00292	2	animal	12617174.6041706	no	poly	500	min	0.0336432942606259	0.0343163635780842	2	166.1	85	69	38	198.557964	4.37105263157895	0.447058823529412	0.836531543000713	0.0301483021842445	0.121459879755488	0.103883765047103	265011681	230466657	225028590	264.06	no	0.869647164722524	0.976404105171708	-2.53461714855158	7.10096211313345	bgs	0.999999999251854	7.48145795286514e-10	0.999999999251854	9.19193790249888e-22	bgs	low	low	high
amel	set1	std	6	0.0548	0.0987	0.015	1	animal	6879080.97149576	no	piece	500	min	0.00667240760626176	0.00699347234954282	16	2145	2008	1944	1163	216.959217	1.84436801375752	0.579183266932271	9.88665072477654	0.00622493148727749	0.109894030297492	0.0670636665788125	250270657	219629612	199724913	249.39	no	0.877568367912983	0.909371514984965	-1.82390874094432	6.83753042142327	bgs	0.624483191197015	8.64547895003645e-07	0.624483191197015	0.37551594425509	bgs	low	med	med
atha	set1	std	NA	1	NA	0.135	0	plant	12101555.7554881	yes	piece	500	min	0.00917087182429615	0.00886410356815935	5	422.5	676	667	666	117.260372	0.634384384384384	0.985207100591716	3.6030927822743	0.00315163004096897	0.644450223676322	0.656343464247375	119146348	119146348	118960704	156.48	no	1	0.998441882582922	-0.869666231504994	7.08284120606779	bgs	0.814981878760811	0.184939389550651	0.814981878760811	7.87316885372843e-05	bgs	med	low	med
bdis	set1	std	NA	1	NA	0.15	0	plant	8677559.9906804	yes	poly	500	min	0.00438024895998407	0.00430205187437886	5	1598	558	558	556	265.736288	2.87410071942446	0.996415770609319	6.01348055256947	0.00267070036637202	0.37920312344964	0.390285714175084	271923306	271148425	270058955	352.08	no	0.997150369303027	0.99598201612272	-0.823908740944319	6.93839762476712	bgs	0.999999999944795	1.59988520231196e-11	0.999999999944795	3.92056940387543e-11	bgs	low	low	high
bmor	set1	std	NA	0.154	0.425	0.04	1	animal	1514636.62684628	no	piece	500	min	0.0292143025612997	0.0303472495436161	27	685.25	1702	1634	1604	458.980244	0.427213216957606	0.942420681551116	1.49298365007623	0.0276330106765374	0.0894393695605826	0.0541273193650375	502962945	502962945	377177827	513.45	no	1	0.749911759404065	-1.39794000867204	6.18030845469703	bgs	0.999998761184493	7.42449974306725e-18	0.999998761184493	1.23881550701916e-06	bgs	low	low	high
btau	set1	std	NA	1	618640	1.5	1	animal	377800	no	piece	500	min	0.00117399441086479	0.00116844388669911	29	3097.366	6923	6285	5499	2452.301738	0.563259865430078	0.794308825653618	1.26304440926021	0.00121295034907391	0	0	2670405961	2660906405	2640169142	3569.7	yes	0.996442654735371	0.992206692065142	0.176091259055681	5.57726195358581	bgs	0.526137771129053	0.0281222013245373	0.526137771129053	0.44574002754641	bgs	low	med	med
cbri	set1	std	NA	0.0082191781	4e-06	0.00115	3	animal	63860678.8303404	yes	poly	500	min	0.00334674281200635	0.00400926790955744	5	484.4527	174	174	166	78.923907	2.91838975903614	0.954022988505747	6.13822501209931	0.00154559564878465	0.614494295803929	0.538179138462667	108384165	105183150	102311480	117.36	no	0.970466027025258	0.972698383724009	-2.93930215964639	7.80523353071931	bgs	0.996480581445614	0.00351917676566841	0.996480581445614	2.41788717252244e-07	bgs	low	low	high
ccle	set1	std	NA	5	NA	5	0	plant	331210	NA	poly	500	min	0.0146227141257328	0.0146315614260859	10	1084.08	887	634	517	283.083007	2.0968665377176	0.582863585118377	3.82954812967632	0.0149627214561754	0	0	301388396	288587601	283837116	469.44	yes	0.957527246669444	0.983538845800932	0.698970004336019	5.52010344067098	neutral	0.999979285780247	1.42343340166705e-82	2.07142197527392e-05	0.999979285780247	neutral	low	high	low
cele	set1	std	NA	0.0082191781	4e-06	0.00115	3	animal	76896886.30501	yes	piece	500	min	0.00542422516398884	0.00503008099858075	5	233.287	5221	5221	5220	82.313198	0.0446909961685824	0.999808465811147	2.83413845735893	0.00209953513260195	0.582604110511473	0.612933632154384	100272607	100272607	100272607	97.8	no	1	1	-2.93930215964639	7.88590875478284	bgs	0.756461981351303	0.242344440931254	0.756461981351303	0.00119357771744265	bgs	med	low	med
clan	set1	std	NA	1	NA	3	0	plant	2681693.15254671	partial	piece	500	min	0.00396221300636048	0.00657247118873385	11	799.3	953	953	922	325.831365	0.866919739696312	0.967471143756558	2.45310944819569	0.0024109746659941	0.633170751645613	0.391508063265706	355247431	355247431	321373230	440.1	no	1	0.904646176033853	0.477121254719662	6.42840908306831	bgs	0.90080126089592	2.61056046104163e-31	0.90080126089592	0.0991987391040797	bgs	low	med	high
clup	set1	std	0.016	2.5	31000	1.06	3	animal	47713282.6340329	no	piece	500	min	0.00188402430733401	0.00207134765494823	38	2084.8	3075	3071	3065	2148.425799	0.680195758564437	0.996747967479675	0.970384921355155	0.00149131042124103	0.280028913698554	0.208444171640593	2410960148	2327633984	2317593971	2748.18	no	0.965438597535873	0.995686601472133	0.0253058652647703	7.67863929668478	bgs	0.770681723940721	0.190666348965297	0.770681723940721	0.0386519270939814	bgs	med	low	med
crub	set1	std	NA	1	NA	0.577	0	plant	2729825.65179217	yes	piece	500	min	0.0121510173660116	0.0121510173660116	8	381.82633647	878	878	877	118.728613	0.435377806693273	0.998861047835991	3.21595887311511	0.00326606368666937	0.731210680695339	0.731210680695339	134835427	124881110	123232065	215.16	no	0.926174320640524	0.986795080537	-0.238824186844269	6.43613491045375	full	0.978335672199075	0.978337650125724	0.0216623498742603	1.56195970557702e-14	hh	high	low	low
csat	set1	std	NA	1	NA	2	0	plant	317094.851731686	partial	piece	500	min	0.0138583574534025	0.0138616310196909	7	707.8	735	657	508	188.665279	1.39330708661417	0.691156462585034	3.75161769961923	0.0132098956743494	0.047017219287953	0.0467921094713781	197284272	191859031	188626844	880.2	no	0.972500387663949	0.983153323650425	0.301029995663981	5.50118919099375	bgs	0.682484731095833	6.00567750282509e-88	0.682484731095833	0.317515268904167	bgs	low	med	med
csem	set1	std	NA	1.25	405.55	0.571	3	animal	1130000	no	poly	500	min	0.00709880645826389	0.00799743081996634	21	1620.4	1004	769	352	380.822114	4.60340909090909	0.350597609561753	4.25500500215174	0.00640178383438718	0.199519948530905	0.0981887065064705	470182763	445139357	422280752	606.36	no	0.946736869211856	0.94864842966469	-0.243363891754152	6.05307844348342	bgs	0.999999999999182	1.15131165716373e-16	0.999999999999182	8.18237820062016e-13	bgs	low	low	high
dmel	set1	std	14350	0.0274	0.0011	0.00154	1	animal	16862937.5798404	no	piece	500	min	0.0130820548394477	0.0130820548394477	4	105.46085	969	969	969	96.353432	0.108834726522188	1	1.09452095074309	0.00871801546986877	0.333589747416406	0.333589747416406	139465864	120381546	120290946	176.04	no	0.863161368290093	0.99924739295174	-2.81247927916354	7.22693323242314	full	0.999706561318567	1	1.92456661512652e-19	9.57576595073285e-42	hh	high	low	low
dpse	set1	std	3800	0.0438356164	0.0014	0.002	1	animal	4081202.67337432	no	piece	500	min	0.0120686502571749	0.0120686502571749	1	53.520111655	141	141	141	30.118596	0.379575259964539	1	1.77697896857476	0.00872010211554751	0.277458379377317	0.277458379377317	152696384	127362199	125061296	159.74	no	0.834087852401272	0.981934176560504	-2.69897000433602	6.61078816246318	full	0.799897075490233	0.988865326972883	0.0111329542759035	1.71875121355782e-06	hh	high	low	low
drer	set1	std	NA	0.1726027397	0.175	0.025	2	animal	802235.283701715	no	piece	500	min	0.0102324679026468	0.0102223458243145	25	2177.363	2870	1837	1706	1349.230214	1.27629718640094	0.594425087108014	1.6137816789211	0.00917396086079049	0.10255815852271	0.103445918611923	1412448247	1357035047	1354638247	1713.945	no	0.96076797849571	0.998233796536575	-1.60205999132796	5.90430175909162	bgs	1	1.10010421474455e-35	1	4.51687294880352e-19	bgs	low	low	high
ecab	set1	std	NA	2.58	403600	1.36	1	animal	13413718.5652858	no	poly	500	min	0.00354139120653197	0.00354077657108341	31	2692.1	479	426	409	1909.40853	6.58215158924205	0.853862212943633	1.40991304778554	0.00362607774687774	0	0	2474912402	2367053447	2335454483	3117.864	no	0.956419081777263	0.986650506755541	0.133538908370218	7.12754919011962	bgs	0.633936979986621	0.0207106434926913	0.633936979986621	0.345352376520688	bgs	low	med	med
falb	set1	std	NA	1	14	0.1275	3	animal	1292065.48887463	no	piece	500	min	0.00392346779679009	0.00405784504221231	32	3132.061	4121	3997	3996	966.491435	0.783799049049049	0.969667556418345	3.24065054958299	0.00380099688991668	0.0632966881740753	0.0312149642144656	1118326800	1044065291	1034875253	1275.75	no	0.933595878235235	0.991197832090369	-0.894489815230026	6.11128452661269	bgs	0.992684841104591	0.00595076136599685	0.992684841104591	0.00136439752941235	bgs	low	low	high
gacu	set1	std	NA	2	1.8	0.05	3	animal	10932006.6629691	no	piece	500	min	0.00545924036804326	0.00579312180214497	21	1251.1609277	1872	1872	1872	401.822899	0.66835519642094	1	3.1137123613754	0.00440938183871307	0.238859117880027	0.192308537186921	463349471	420897271	410805174	625.92	no	0.908379737850181	0.976022422345428	-1.30102999566398	7.03869988771966	bgs	1	6.01286952903705e-23	1	1.84959330206777e-18	bgs	low	low	high
ggal	set1	std	99	0.4166666667	2580.2	0.7	2	animal	4150243	no	piece	500	min	0.0053287387671501	0.00539787897707291	28	2867.6	8558	8445	8349	910.751309	0.343466283387232	0.975578406169666	3.1486092544282	0.00588359552053694	0	0	1046915324	1004801586	993905897	1222.5	yes	0.959773501223486	0.989156377585574	-0.154901959985743	6.61807352574089	bgs	0.99975315995506	1.60933726177828e-14	0.99975315995506	0.000246840044924131	bgs	low	low	high
gmax	set1	std	NA	1	NA	0.9144	0	plant	746662.351431524	yes	piece	500	min	0.00317410388429441	0.00325786589061629	20	2241.32	4534	4534	2549	943.186207	0.879293840721852	0.562196735774151	2.37632821956651	0.00273673479730597	0.159960879547358	0.137792933984473	973340353	950068807	937319243	1105.14	no	0.976091049828281	0.986580378277802	-0.0388637826127747	5.87312425367491	bgs	0.521112072446118	3.86023542910218e-40	0.521112072446118	0.478887927553882	bgs	low	med	med
grai	set1	std	NA	1	NA	1.5	0	plant	2465.14126980311	yes	poly	500	min	0.000117173584836278	0.000139644833458599	13	1493.3	662	490	433	728.540484	3.44872979214781	0.654078549848943	2.04971450838414	0.000117471716213813	0.158782224129758	0	761407154	749228103	737837083	880.2	no	0.984004548767347	0.984796325772633	0.176091259055681	3.39184181243189	neutral	0.697123439539593	0.000907584018467822	0.301968976441939	0.697123439539593	neutral	low	med	med
hmel	set1	std	NA	0.0794520548	0.12	0.02	1	animal	1407075.25916673	no	piece	500	min	0.0223290821457228	0.0223283093507078	20	689.262	1036	1028	1017	207.291798	0.677740412979351	0.981660231660232	3.32508090841105	0.0185141113935412	0.170823410642405	0.170852107905043	273790497	221851317	218680715	293.4	no	0.81029589934964	0.985708437331476	-1.69897000433602	6.1483173268354	hh	0.501761202433901	0.999999980629331	1.88668386310748e-08	5.03830458771575e-10	hh	high	low	low
hsap	set1	std	NA	13.5	58540	1.65	2	animal	20232960	no	piece	500	min	0.00114971597626569	0.00114971597626569	22	3179.9563005	276280	276230	276215	2670.616352	0.0115126126405155	0.999764731431881	1.19071999919365	0.00103745770978471	0.0976399987461233	0.0976399987461233	3101788170	3095677412	2861325045	3423	no	0.998029924138888	0.924296903129647	0.217483944213906	7.30605942294032	full	0.591717504593087	0.988837873632463	0.0109792400766057	0.000182886290931642	hh	high	low	low
locu	set1	std	NA	1	2440	0.46	3	animal	2139592.88727786	no	piece	500	min	0.00620792829600042	0.00635293614647617	29	2923.736	5440	5002	2820	877.903483	1.03678581560284	0.518382352941177	3.33036154499458	0.00618401913705004	0.0265888095726924	0.00385139096496712	945861706	891144077	834922998	1369.2	no	0.942150497633107	0.936911347501443	-0.337242168318426	6.33033114548531	bgs	0.989395043148398	4.85698960790018e-19	0.989395043148398	0.0106049568516016	bgs	low	low	high
