spec	filt	density.perkm2	gen.time.years	mass.g	size.m	trophic.cat	kingdom	area	selfing	rec	wind	U	mod.set	pi.best	pi.full	num.chr	map.length	markers	mapped.markers	good.markers	mb.tot	density.good	prop.good	rec.rate	assembly.bp	placed.bp	placed.ungapped.bp	genome.size.mb	domesticated	pi.avg	selstr.full	selstr.best
agam	q30	NA	0.0383561644	0.00108	0.00292	2	animal	12617174.6041706	no	poly	1000	max	set1	0.0377725849541974	0.0375816728010146	2	166.1	85	69	38	198.557964	4.37105263157895	0.447058823529412	0.836531543000713	265011681	230466657	225028590	264.06	no	0.0326996523547358	0.129904287979086	0.134301970744469
agam	q30	NA	0.0383561644	0.00108	0.00292	2	animal	12617174.6041706	no	poly	500	const	set1	0.0375855121229557	0.0375371939569937	2	166.1	85	69	38	198.557964	4.37105263157895	0.447058823529412	0.836531543000713	265011681	230466657	225028590	264.06	no	0.0326996523547358	0.12887328785951	0.129993167373548
agam	q30	NA	0.0383561644	0.00108	0.00292	2	animal	12617174.6041706	no	poly	1000	const	set1	0.0377420025037805	0.0375478836195892	2	166.1	85	69	38	198.557964	4.37105263157895	0.447058823529412	0.836531543000713	265011681	230466657	225028590	264.06	no	0.0326996523547358	0.129121292533356	0.133600493204875
agam	q30	NA	0.0383561644	0.00108	0.00292	2	animal	12617174.6041706	no	poly	1000	const	set2	0.0377420025037805	0.0375569820136287	2	166.1	85	69	38	198.557964	4.37105263157895	0.447058823529412	0.836531543000713	265011681	230466657	225028590	264.06	no	0.0326996523547358	0.129332267889104	0.133600493204875
agam	q30	NA	0.0383561644	0.00108	0.00292	2	animal	12617174.6041706	no	poly	1000	max	set2	0.0377725849541974	0.0375919060343232	2	166.1	85	69	38	198.557964	4.37105263157895	0.447058823529412	0.836531543000713	265011681	230466657	225028590	264.06	no	0.0326996523547358	0.13014114461556	0.134301970744469
agam	q30	NA	0.0383561644	0.00108	0.00292	2	animal	12617174.6041706	no	poly	500	max	set1	0.0377177851128664	0.037574651158541	2	166.1	85	69	38	198.557964	4.37105263157895	0.447058823529412	0.836531543000713	265011681	230466657	225028590	264.06	no	0.0326996523547358	0.129741691632367	0.133044205621151
agam	q30	NA	0.0383561644	0.00108	0.00292	2	animal	12617174.6041706	no	poly	500	max	set2	0.0377177851128664	0.0376490819666774	2	166.1	85	69	38	198.557964	4.37105263157895	0.447058823529412	0.836531543000713	265011681	230466657	225028590	264.06	no	0.0326996523547358	0.131462159324954	0.133044205621151
agam	q30	NA	0.0383561644	0.00108	0.00292	2	animal	12617174.6041706	no	poly	500	const	set2	0.0375855121229557	0.0376094667616494	2	166.1	85	69	38	198.557964	4.37105263157895	0.447058823529412	0.836531543000713	265011681	230466657	225028590	264.06	no	0.0326996523547358	0.130547301774567	0.129993167373548
agam	q30	NA	0.0383561644	0.00108	0.00292	2	animal	12617174.6041706	no	poly	100	max	set1	0.0350027882213211	0.0321844017432986	2	166.1	85	69	38	198.557964	4.37105263157895	0.447058823529412	0.836531543000713	265011681	230466657	225028590	264.06	no	0.0326996523547358	0	0.0657986401546835
agam	q30	NA	0.0383561644	0.00108	0.00292	2	animal	12617174.6041706	no	poly	100	max	set2	0.0350027882213211	0.0353503184028494	2	166.1	85	69	38	198.557964	4.37105263157895	0.447058823529412	0.836531543000713	265011681	230466657	225028590	264.06	no	0.0326996523547358	0.074982805470288	0.0657986401546835
agam	q30	NA	0.0383561644	0.00108	0.00292	2	animal	12617174.6041706	no	poly	100	const	set1	0.0351887085243978	0.0321748368440284	2	166.1	85	69	38	198.557964	4.37105263157895	0.447058823529412	0.836531543000713	265011681	230466657	225028590	264.06	no	0.0326996523547358	0	0.0707345132583151
agam	q30	NA	0.0383561644	0.00108	0.00292	2	animal	12617174.6041706	no	poly	500	min	set1	0.0366631622049246	0.0374200438295919	2	166.1	85	69	38	198.557964	4.37105263157895	0.447058823529412	0.836531543000713	265011681	230466657	225028590	264.06	no	0.0326996523547358	0.126146070174381	0.108106055556125
agam	q30	NA	0.0383561644	0.00108	0.00292	2	animal	12617174.6041706	no	poly	100	min	set1	0.0345937609809624	0.0349110283840333	2	166.1	85	69	38	198.557964	4.37105263157895	0.447058823529412	0.836531543000713	265011681	230466657	225028590	264.06	no	0.0326996523547358	0.06334319358833	0.0547528968379288
agam	q30	NA	0.0383561644	0.00108	0.00292	2	animal	12617174.6041706	no	poly	100	const	set2	0.0351887085243978	0.035742063338029	2	166.1	85	69	38	198.557964	4.37105263157895	0.447058823529412	0.836531543000713	265011681	230466657	225028590	264.06	no	0.0326996523547358	0.0851213024418801	0.0707345132583151
