sp	num.chr	map.length	markers
agam	2	166.1	85
amel	16	2145	2008
atha	5	422.5	676
bmor	27	685.25	1702
btau	29	3097.366	6923
bdis	5	1598	558
cbri	5	484.4527	174
cele	5	233.287	5221
clup	38	2084.8	3075
crub	8	381.82633647	878
clan	11	799.3	953
ccle	10	1084.08	887
csat	7	707.8	735
drer	25	2177.363	2870
dmel	4	105.46085	969
dpse	1	53.520111655	141
ecab	31	2692.1	479
ggal	28	2867.6	8558
gacu	21	1251.1609277	1872
gmax	20	2241.32	4534
grai	13	1493.3	662
hmel	20	689.262	1036
hsap	22	3179.9563005	276280
mmul	20	2473.9	362
mtru	8	556.7	1038
mgal	27	2157.9	522
mmus	19	1436.348	9905
osat	12	1863.5528	30984
oari	26	3468.8	1350
olat	24	1426.93	2469
panu	21	2422.1	360
ptri	19	2801.5	606
sita	9	1415.923	991
sscr	18	1603.8745458277	2367
zmay	10	1399.3	1106
pper	8	484.3	227
sbic	10	1227	806
locu	29	2923.736	5440
falb	32	3132.061	4121
csem	21	1620.4	1004
