sp	num.chr	map.length	markers	mapped.markers	good.markers	mb.tot	density.good	prop.good	rec.rate
agam	2	166.1	85	69	38	198.557964	4.37105263157895	0.447058823529412	0.836531543000713
amel	16	2145	2008	1944	1163	216.959217	1.84436801375752	0.579183266932271	9.88665072477654
atha	5	422.5	676	667	666	117.260372	0.634384384384384	0.985207100591716	3.6030927822743
bdis	5	1598	558	558	556	265.736288	2.87410071942446	0.996415770609319	6.01348055256947
bmor	27	685.25	1702	1634	1604	458.980244	0.427213216957606	0.942420681551116	1.49298365007623
btau	29	3097.366	6923	6285	5499	2452.301738	0.563259865430078	0.794308825653618	1.26304440926021
cbri	5	484.4527	174	174	166	78.923907	2.91838975903614	0.954022988505747	6.13822501209931
ccle	10	1084.08	887	634	517	283.083007	2.0968665377176	0.582863585118377	3.82954812967632
cele	5	233.287	5221	5221	5220	82.313198	0.0446909961685824	0.999808465811147	2.83413845735893
clan	11	799.3	953	953	922	325.831365	0.866919739696312	0.967471143756558	2.45310944819569
clup	38	2084.8	3075	3071	3065	2148.425799	0.680195758564437	0.996747967479675	0.970384921355155
crub	8	381.82633647	878	878	877	118.728613	0.435377806693273	0.998861047835991	3.21595887311511
csat	7	707.8	735	657	508	188.665279	1.39330708661417	0.691156462585034	3.75161769961923
csem	21	1620.4	1004	769	352	380.822114	4.60340909090909	0.350597609561753	4.25500500215174
dmel	4	105.46085	969	969	969	96.353432	0.108834726522188	1	1.09452095074309
dpse	1	53.520111655	141	141	141	30.118596	0.379575259964539	1	1.77697896857476
drer	25	2177.363	2870	1837	1706	1349.230214	1.27629718640094	0.594425087108014	1.6137816789211
ecab	31	2692.1	479	426	409	1909.40853	6.58215158924205	0.853862212943633	1.40991304778554
falb	32	3132.061	4121	3997	3996	966.491435	0.783799049049049	0.969667556418345	3.24065054958299
gacu	21	1251.1609277	1872	1872	1872	401.822899	0.66835519642094	1	3.1137123613754
ggal	28	2867.6	8558	8445	8349	910.751309	0.343466283387232	0.975578406169666	3.1486092544282
gmax	20	2241.32	4534	4534	2549	943.186207	0.879293840721852	0.562196735774151	2.37632821956651
grai	13	1493.3	662	490	433	728.540484	3.44872979214781	0.654078549848943	2.04971450838414
hmel	20	689.262	1036	1028	1017	207.291798	0.677740412979351	0.981660231660232	3.32508090841105
hsap	22	3179.9563005	276280	276230	276215	2670.616352	0.0115126126405155	0.999764731431881	1.19071999919365
locu	29	2923.736	5440	5002	2820	877.903483	1.03678581560284	0.518382352941177	3.33036154499458
mgal	27	2157.9	522	504	471	865.583106	4.58152866242038	0.902298850574713	2.49300152121962
mmul	20	2473.9	362	290	274	2280.3949565	9.02883211678832	0.756906077348066	1.08485593381464
mmus	19	1436.348	9905	9885	9872	2366.842124	0.1454971636953	0.996668349318526	0.606862614719967
mtru	8	556.7	1038	654	540	264.59548	1.03092592592593	0.520231213872832	2.10396640184481
oari	26	3468.8	1350	570	554	2181.522134	6.26137184115523	0.41037037037037	1.59008242269799
olat	24	1426.93	2469	2149	2142	715.160852	0.666167133520075	0.867557715674362	1.99525742496878
osat	12	1863.5528	30984	30979	30971	370.526242	0.060170895353718	0.999580428608314	5.02947588797233
panu	21	2422.1	360	248	242	2207.447721	10.0086776859504	0.672222222222222	1.09724002836305
pper	8	484.3	227	227	195	202.968009	2.48358974358974	0.859030837004405	2.38609031239007
ptri	19	2801.5	606	538	411	357.499253	6.81630170316302	0.678217821782178	7.83638001056187
sbic	10	1227	806	541	446	630.914185	2.75112107623318	0.553349875930521	1.94479697742095
sita	9	1415.923	991	991	983	396.463084	1.44040996948118	0.991927346115035	3.57138673723277
sscr	18	1603.8745458277	2367	2367	2365	2398.193434	0.678171055318266	0.999155048584706	0.668784478803514
zmay	10	1399.3	1106	1021	1012	2022.536226	1.38270750988142	0.91500904159132	0.691854109712248
