species	class	est	total.exons	size.mb	frac.conserved	u.min	u.const	u.max
agam	ins	2.8e-09	20667005	264.06	0.391331610240097	0.115735228	1	0.57867614
amel	ins	2.8e-09	16592750	249.39	0.332666706764505	0.0929194	1	0.464597
atha	plant	7e-09	33321501	156.48	1	0.466501014	1	2.19072
bdis	plant	7e-09	34044122	352.08	0.483471398545785	0.476617708	1	2.38308854
bmor	ins	2.8e-09	17046437	513.45	0.165998996981206	0.0954600472	1	0.477300236
btau	vert	1.18e-08	34518928	3569.7	0.0483499005518671	0.8146467008	1	4.073233504
cbri	nem	2.7e-09	26015809	117.36	1	0.1404853686	1	0.633744
ccle	plant	7e-09	30685926	469.44	0.326835442229039	0.429602964	1	2.14801482
cele	nem	2.7e-09	25343766	97.8	1	0.1368563364	1	0.52812
clan	plant	7e-09	25899259	440.1	0.294242887980005	0.362589626	1	1.81294813
clup	vert	1.18e-08	32767366	2748.18	0.0596164843641974	0.7733098376	1	3.866549188
crub	plant	7e-09	32999556	215.16	0.766860847741216	0.461993784	1	2.30996892
csat	plant	7e-09	26027450	880.2	0.147849636446262	0.3643843	1	1.8219215
csem	vert	1.18e-08	37971021	606.36	0.313106248763111	0.8961160956	1	4.480580478
dmel	ins	2.8e-09	22778150	176.04	0.6469594978414	0.12755764	1	0.6377882
dpse	ins	2.8e-09	23219947	159.74	0.726804400901465	0.1300317032	1	0.650158516
drer	vert	1.18e-08	42253613	1713.945	0.123264203343748	0.9971852668	1	4.985926334
ecab	vert	1.18e-08	32343577	3117.864	0.0518681651925806	0.7633084172	1	3.816542086
falb	vert	1.18e-08	25797028	1275.75	0.101105341955712	0.6088098608	1	3.044049304
gacu	vert	1.18e-08	32300373	625.92	0.258023173888037	0.7622888028	1	3.811444014
ggal	vert	1.18e-08	27445518	1222.5	0.112251607361963	0.6477142248	1	3.238571124
gmax	plant	7e-09	64196040	1105.14	0.290443020793746	0.89874456	1	4.4937228
grai	plant	7e-09	45369975	880.2	0.257725374914792	0.63517965	1	3.17589825
hmel	ins	2.8e-09	14421746	293.4	0.245769359236537	0.0807617776	1	0.403808888
hsap	vert	1.18e-08	21391389	3423	0.0312465512708151	0.5048367804	1	2.524183902
locu	vert	1.18e-08	31203082	1369.2	0.113946399357289	0.7363927352	1	3.681963676
mgal	vert	1.18e-08	19364175	1431.14	0.067652972455525	0.45699453	1	2.28497265
mmul	vert	1.18e-08	32615600	3290.97	0.0495531712534602	0.76972816	1	3.8486408
mmus	vert	1.18e-08	35909387	3002.46	0.0597999423805813	0.8474615332	1	4.237307666
mtru	plant	7e-09	36390081	469.44	0.38759033103272	0.509461134	1	2.54730567
oari	vert	1.18e-08	31546894	3227.4	0.0488735421701679	0.7445066984	1	3.722533492
olat	vert	1.18e-08	29962664	1056.24	0.141836438688177	0.7071188704	1	3.535594352
osat	plant	7e-09	41531066	449.88	0.461579376722682	0.581434924	1	2.90717462
panu	vert	1.18e-08	32435819	3452.34	0.0469765709634625	0.7654853284	1	3.827426642
pper	plant	7e-09	33718917	303.18	0.556087423312883	0.472064838	1	2.36032419
ptri	plant	7e-09	48183919	479.22	0.50273276365761	0.674574866	1	3.37287433
sbic	plant	7e-09	39869398	733.5	0.271775037491479	0.558171572	1	2.79085786
sita	plant	7e-09	39588575	518.34	0.381878448508701	0.55424005	1	2.77120025
sscr	vert	1.18e-08	29634792	2748.18	0.0539171233325328	0.6993810912	1	3.496905456
zmay	plant	7e-09	69842010	2669.94	0.130793220072361	0.97778814	1	4.8889407
