piece	poly	species	chr	use.piece
1	1	agam	chr2	TRUE
1	1	agam	chr3	TRUE
1	1	amel	chr1	TRUE
1	1	amel	chr10	TRUE
1	1	amel	chr11	TRUE
1	1	amel	chr12	TRUE
1	1	amel	chr13	TRUE
1	1	amel	chr14	TRUE
1	1	amel	chr15	TRUE
1	1	amel	chr16	TRUE
1	1	amel	chr2	TRUE
1	1	amel	chr3	TRUE
1	1	amel	chr4	TRUE
1	1	amel	chr5	TRUE
1	1	amel	chr6	TRUE
1	1	amel	chr7	TRUE
1	1	amel	chr8	TRUE
1	1	amel	chr9	TRUE
1	1	atha	chr1	TRUE
1	1	atha	chr2	TRUE
1	1	atha	chr3	TRUE
1	1	atha	chr4	TRUE
1	1	atha	chr5	TRUE
1	1	bdis	chr1	TRUE
1	1	bdis	chr2	TRUE
1	1	bdis	chr3	TRUE
1	1	bdis	chr4	TRUE
1	1	bdis	chr5	TRUE
1	1	bmor	chr10	TRUE
1	1	bmor	chr11	TRUE
1	1	bmor	chr12	TRUE
1	1	bmor	chr13	TRUE
1	1	bmor	chr14	TRUE
1	1	bmor	chr15	TRUE
1	1	bmor	chr16	TRUE
1	1	bmor	chr17	TRUE
1	1	bmor	chr18	TRUE
1	1	bmor	chr19	TRUE
1	1	bmor	chr2	TRUE
1	1	bmor	chr20	TRUE
1	1	bmor	chr21	TRUE
1	1	bmor	chr22	TRUE
1	1	bmor	chr23	TRUE
1	1	bmor	chr24	TRUE
1	1	bmor	chr25	TRUE
1	1	bmor	chr26	TRUE
1	1	bmor	chr27	TRUE
1	1	bmor	chr28	TRUE
1	1	bmor	chr3	TRUE
1	1	bmor	chr4	TRUE
1	1	bmor	chr5	TRUE
1	1	bmor	chr6	TRUE
1	1	bmor	chr7	TRUE
1	1	bmor	chr8	TRUE
1	1	bmor	chr9	TRUE
1	1	btau	chr1	TRUE
1	1	btau	chr10	TRUE
1	1	btau	chr11	TRUE
1	1	btau	chr12	TRUE
1	1	btau	chr13	TRUE
1	1	btau	chr14	TRUE
1	1	btau	chr15	TRUE
1	1	btau	chr16	TRUE
1	1	btau	chr17	TRUE
1	1	btau	chr18	TRUE
1	1	btau	chr19	TRUE
1	1	btau	chr2	TRUE
1	1	btau	chr20	TRUE
1	1	btau	chr21	TRUE
1	1	btau	chr22	TRUE
1	1	btau	chr23	TRUE
1	1	btau	chr24	TRUE
1	1	btau	chr25	TRUE
1	1	btau	chr26	TRUE
1	1	btau	chr27	TRUE
1	1	btau	chr28	TRUE
1	1	btau	chr29	TRUE
1	1	btau	chr3	TRUE
1	1	btau	chr4	TRUE
