sp	assembly.bp	placed.bp	placed.ungapped.bp	genome.size.mb	domesticated
dmel	139465864	120381546	120290946	176.04	no
dpse	152696384	127362199	125061296	159.74	no
cbri	108384165	105183150	102311480	117.36	no
cele	100272607	100272607	100272607	97.8	no
gacu				625.92	no
bmor				513.45	no
hmel				293.4	no
drer	1412448247	1357035047	1354638247	1713.945	no
mgal	1061800384	1040287070	917277947	1431.14	yes
ecab	2474912402	2367053447	2335454483	3117.864	no
agam	265011681	230466657	225028590	264.06	no
clup	2410960148	2327633984	2317593971	2748.18	no
mtru	314353944	297051484	245503603	469.44	no
ggal	1046915324	1004801586	993905897	1222.5	yes
locu	945861706	891144077	834922998	1369.2	no
hsap	3101788170	3095677412	2861325045	3423	no
panu	2948380710	2724327674	2682268610	3452.34	no
olat	869801494	723441489	582138403	1056.24	no
mmus	2730855475	2725521370	2647521648	3002.46	no
amel	250270657	219629612	199724913	249.39	no
mmul	3097370727	2863665185	2646263223	3290.97	no
sscr	2808509378	2596639456	2323671356	2748.18	no
btau	2670405961	2660906405	2640169142	3569.7	yes
oari	2619037772	2587507083	2506759532	3227.4	no
ccle				469.44	yes
crub				215.16	no
grai				880.2	no
pper				303.18	no
ptri				479.22	no
sita				518.34	yes
osat				449.88	no
csat				880.2	no
clan				440.1	no
bdis	271923306	271148425	270058955	352.08	no
sbic	738540932	659229367	625636246	733.5	no
zmay	2065703473	2058582553	2045439188	2669.94	no
atha	119146348	119146348	118960704	156.48	no
gmax	973340353	950068807	937319243	1105.14	no
falb	1118326800	1044065291	1034875253	1275.75	no
csem	470182763	445139357	422280752	606.36	no
